,metric,value
0,年化收益率,nan%
1,年化波动率,nan%
2,夏普比率,nan
3,最大回撤,0.00%
4,最大回撤起始日,20250401
5,最大回撤结束日,20250401
6,胜率,nan%
7,盈亏比,nan
8,单日最大收益,nan%
9,单日最大亏损,nan%
