,metric,value
0,年化收益率,110.13%
1,年化波动率,27.36%
2,夏普比率,4.03
3,最大回撤,9.45%
4,最大回撤起始日,20240125
5,最大回撤结束日,20240205
6,胜率,58.75%
7,盈亏比,1.67
8,单日最大收益,17.45%
9,单日最大亏损,-4.58%
