date,net_value,return,drawdown
20240117,0.98056144,,0.0
20240118,0.99897826,0.0187819,0.0
20240119,1.0028627,0.0038883686,0.0
20240122,0.9825709,-0.02023387,0.02023387
20240123,0.9932656,0.010884404,0.009569645
20240124,1.0030382,0.0098388195,0.0
20240125,1.025893,0.022785544,0.0
20240126,1.0136931,-0.011891961,0.011891961
20240129,0.9880086,-0.025337517,0.036928177
20240130,0.9699861,-0.018241286,0.05449581
20240131,0.95225877,-0.018275857,0.071775734
20240201,0.95616347,0.004100442,0.06796956
20240202,0.9402057,-0.01668936,0.083524585
20240205,0.92892045,-0.012002945,0.09452498
20240206,0.9753168,0.049946547,0.049299657
20240207,0.9880462,0.01305151,0.03689152
20240208,0.99799734,0.010071516,0.02719158
20240219,1.0221033,0.024154305,0.0036939979
20240220,1.0402473,0.017751694,0.0
20240221,1.0444256,0.004016638,0.0
20240222,1.0697811,0.024276972,0.0
20240223,1.0833478,0.012681842,0.0
20240226,1.0866112,0.0030122995,0.0
20240227,1.1299106,0.03984809,0.0
20240228,1.1163273,-0.012021601,0.012021601
20240229,1.1563786,0.035877824,0.0
20240301,1.1760072,0.016974092,0.0
20240304,1.1851608,0.0077836514,0.0
20240305,1.1731708,-0.010116756,0.010116756
20240306,1.1761055,0.0025014877,0.0076405406
20240307,1.1520334,-0.02046758,0.027951717
20240308,1.172931,0.01813972,0.010319114
20240311,1.2044988,0.026913643,0.0
20240312,1.1983904,-0.005071342,0.005071342
20240313,1.2018931,0.0029228926,0.002163291
20240314,1.2036586,0.0014688969,0.00069755316
20240315,1.2031823,-0.00039565563,0.0010929108
20240318,1.2092164,0.0050150156,0.0
20240319,1.2081234,-0.00090384483,0.00090384483
20240320,1.2202997,0.010078669,0.0
20240321,1.224128,0.0031371117,0.0
20240322,1.2129537,-0.009128392,0.009128392
20240325,1.2031621,-0.008072555,0.017127216
20240326,1.1938576,-0.0077334046,0.024728179
20240327,1.1754583,-0.015411615,0.039758682
20240328,1.1927238,0.014688253,0.025654376
20240329,1.1957662,0.0025508404,0.023168981
20240401,1.2080784,0.010296464,0.013111055
20240402,1.2055677,-0.0020782351,0.015162051
20240403,1.2038325,-0.001439333,0.016579568
20240408,1.1991687,-0.003874123,0.020389497
20240409,1.216707,0.01462543,0.006062269
20240410,1.196186,-0.016866028,0.022826076
20240411,1.2092657,0.010934591,0.0121411085
20240412,1.2014847,-0.0064345,0.018497527
20240415,1.2016422,0.00013101101,0.0183689
20240416,1.182235,-0.016150534,0.034222722
20240417,1.2001486,0.015152335,0.019589007
20240418,1.2093736,0.007686615,0.012053013
20240419,1.2074378,-0.0016006827,0.013634384
20240422,1.2129762,0.004586935,0.009109974
20240423,1.2008356,-0.010008991,0.01902777
20240424,1.2099497,0.007589817,0.011582375
20240425,1.2100995,0.00012373924,0.011460006
20240426,1.2400887,0.02478242,0.0
20240429,1.2736045,0.027026892,0.0
20240430,1.2714957,-0.0016557574,0.0016557574
20240506,1.289603,0.01424098,0.0
20240507,1.3028879,0.01030159,0.0
20240508,1.2860368,-0.012933612,0.012933612
20240509,1.3123072,0.020427346,0.0
20240510,1.3080487,-0.0032450557,0.0032450557
20240513,1.303411,-0.0035455227,0.0067790747
20240514,1.3169758,0.010407209,0.0
20240515,1.3286364,0.008854032,0.0
20240516,1.3384876,0.0074145794,0.0
20240517,1.3564761,0.013439417,0.0
20240520,1.3662094,0.0071754456,0.0
20240521,1.3554226,-0.00789541,0.00789541
20240522,1.36275,0.005406022,0.002532065
20240523,1.3559958,-0.0049563646,0.007475853
20240524,1.3448627,-0.008210242,0.015624762
20240527,1.3611317,0.01209712,0.0037166476
20240528,1.3564618,-0.003430903,0.007134795
20240529,1.3524643,-0.0029469728,0.010060728
20240530,1.3433901,-0.006709397,0.016702652
20240531,1.3436221,0.00017273426,0.016532838
20240603,1.3355658,-0.0059959292,0.022429645
20240604,1.3441565,0.006432295,0.016141653
20240605,1.3383627,-0.0043103695,0.020382464
20240606,1.3478886,0.007117629,0.013409972
20240607,1.3366898,-0.008308351,0.021606922
20240611,1.3357123,-0.0007312894,0.022322416
20240612,1.3467441,0.008259058,0.0142477155
20240613,1.3437474,-0.0022251606,0.016441107
20240614,1.3455728,0.0013585091,0.0151049495
20240617,1.3383896,-0.005338371,0.020362735
20240618,1.3522207,0.010334134,0.010239065
20240619,1.3538986,0.0012409687,0.009010851
20240620,1.3390838,-0.01094234,0.019854665
20240621,1.3575963,0.013824701,0.0063043833
20240624,1.3421756,-0.011358798,0.017591596
20240625,1.316391,-0.019211054,0.03646469
20240626,1.3435395,0.020623446,0.016593277
20240627,1.3255092,-0.013419986,0.02979058
20240628,1.3312358,0.004320264,0.025599003
20240701,1.3505092,0.014477849,0.011491835
20240702,1.3482103,-0.0017021894,0.013174474
20240703,1.3432566,-0.0036743283,0.016800344
20240704,1.3217453,-0.016014278,0.032545626
20240705,1.3370649,0.011590481,0.021332383
20240708,1.3225638,-0.010845482,0.03194648
20240709,1.3383111,0.011906624,0.020420253
20240710,1.3434892,0.003869176,0.016630113
20240711,1.3551018,0.008643627,0.008130193
20240712,1.3644998,0.006935239,0.0012513399
20240715,1.3516203,-0.009438992,0.01067853
20240716,1.3488777,-0.0020291805,0.012686014
20240717,1.3459902,-0.0021406412,0.014799476
20240718,1.3434967,-0.0018525124,0.01662463
20240719,1.338376,-0.003811419,0.020372689
20240722,1.3385186,0.000106573105,0.020268321
20240723,1.3088694,-0.022150815,0.041970134
20240724,1.300515,-0.006382823,0.048085093
20240725,1.285937,-0.011209488,0.058755577
