,metric,value
0,年化收益率,58.54%
1,年化波动率,32.35%
2,夏普比率,1.81
3,最大回撤,23.52%
4,最大回撤起始日,20240226
5,最大回撤结束日,20240827
6,胜率,47.97%
7,盈亏比,1.28
8,单日最大收益,13.10%
9,单日最大亏损,-6.57%
