date,net_value,return,drawdown
20231016,1.5662206,-0.0071728826,0.0071728826
20231017,1.6039783,0.024107456,0.0
20231018,1.5817044,-0.013886631,0.013886631
20231019,1.5817044,0.0,0.013886631
20231020,1.5855525,0.0024328232,0.011487603
20231023,1.5590619,-0.01670748,0.028003097
20231024,1.5660707,0.0044955015,0.02363348
20231025,1.5660707,0.0,0.02363348
20231026,1.5711049,0.0032145977,0.020494938
20231027,1.55542,-0.009983301,0.030273616
20231030,1.5442607,-0.0071744323,0.03723091
20231031,1.5309937,-0.008591175,0.045502245
20231101,1.5327129,0.0011229515,0.044430375
20231102,1.5291224,-0.0023426414,0.046668887
20231103,1.5218506,-0.004755497,0.051202476
20231106,1.5431377,0.01398766,0.037931085
20231107,1.5458765,0.0017747879,0.03622353
20231108,1.5314847,-0.009309769,0.045196116
20231109,1.5163125,-0.009906888,0.054655254
20231110,1.5032102,-0.008640885,0.06282383
20231113,1.5114455,0.0054785013,0.057689548
20231114,1.5420756,0.02026546,0.038593173
20231115,1.5186253,-0.015206993,0.0532133
20231116,1.5355853,0.011168003,0.042639613
20231117,1.5796291,0.028682113,0.015180528
20231120,1.6414971,0.039166212,0.0
20231121,1.6166016,-0.015166342,0.015166342
20231122,1.5954639,-0.013075411,0.028043449
20231123,1.6862769,0.056919575,0.0
20231124,1.7206459,0.02038157,0.0
20231127,1.7206459,0.0,0.0
20231128,1.7206459,0.0,0.0
20231129,1.726709,0.0035237074,0.0
20231130,1.7137966,-0.0074780583,0.0074780583
20231201,1.7084991,-0.0030910969,0.010546029
20231204,1.7007157,-0.004555702,0.0150536895
20231205,1.6693269,-0.01845622,0.033232093
20231206,1.6693269,0.0,0.033232093
20231207,1.6693269,0.0,0.033232093
20231208,1.6884363,0.01144731,0.02216512
20231211,1.7112247,0.013496757,0.008967519
20231212,1.7087276,-0.0014592409,0.010413706
20231213,1.6953611,-0.007822454,0.01815468
20231214,1.6868367,-0.005028069,0.023091495
20231215,1.6745323,-0.007294357,0.03021741
20231218,1.6532556,-0.012706041,0.042539537
