,metric,value
0,年化收益率,60.67%
1,年化波动率,27.46%
2,夏普比率,2.21
3,最大回撤,20.00%
4,最大回撤起始日,20240226
5,最大回撤结束日,20240527
6,胜率,47.40%
7,盈亏比,1.36
8,单日最大收益,13.37%
9,单日最大亏损,-6.66%
