,metric,value
0,年化收益率,53.13%
1,年化波动率,36.94%
2,夏普比率,1.44
3,最大回撤,10.36%
4,最大回撤起始日,20250227
5,最大回撤结束日,20250313
6,胜率,34.78%
7,盈亏比,1.81
8,单日最大收益,6.62%
9,单日最大亏损,-5.10%
